"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"4";"";"MA04-1";"MA04-1";"SV1, SV2, SV3, SV4";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"";"PINHD-1X72MM";"1:07X2MM";"JP1";"PIN HEADER";"";"";"";"";"";"";
"1";"";"PINHD-2X2";"2X02";"JP5";"PIN HEADER";"";"";"";"";"";"";
"1";"";"PINHD-2X7";"2X07";"JP4";"PIN HEADER";"";"";"";"";"";"";
"1";"";"SJ";"SJ";"SJ2";"SMD solder JUMPER";"";"";"";"";"";"";
"1";"0R";"R-EU_R0402";"R0402";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"100n";"C-EUC0402";"C0402";"C1, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";
"8";"100n";"C-EUC0603";"C0603";"C2, C11, C15, C16, C18, C19, C20, C29";"CAPACITOR, European symbol";"";"";"";"";"";"";
"3";"10k";"R-EU_R0603";"R0603";"R16, RPUC, RPUD";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"10n";"C-EUC0603";"C0603";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"10nF";"C-EUC0603";"C0603";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"10u";"CPOL-EUA/3216-18R";"A/3216-18R";"C25, C30";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"12p";"C-EUC0402";"C0402";"C9, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"1M";"R-EU_R0603";"R0603";"R2, R3";"RESISTOR, European symbol";"";"";"";"";"";"";
"4";"1k";"R-EU_R0603";"R0603";"R4, R6, R8, R9";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"1uH";"XFL4020";"XFL4020";"L1";"";"";"";"";"";"";"";
"1";"2.2n";"C-EUC0603";"C0603";"C21";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"220n";"C-EUC0603";"C0603";"C13";"CAPACITOR, European symbol";"";"";"";"";"";"";
"3";"22uF";"C-EUC0603";"C0603";"C3, C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"3 x 22uF";"C-EUC0603";"C0603";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"32.768kHz";"MS3V-T1R";"MS3V-T1R";"Q2";"";"";"";"";"";"";"";
"1";"3V-ok";"LEDCHIPLED_0603";"CHIPLED_0603";"GREEN";"LED";"";"";"";"";"";"";
"1";"3V3  V_Motor  5V";"SJ2W";"SJ_2";"SJ1";"SMD solder JUMPER";"";"";"";"";"";"";
"1";"4.7u";"C-EUC0603";"C0603";"C10";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"4.7uH";"LQM2MP_G0";"0806";"L3";"";"";"";"";"";"";"";
"4";"470n";"C-EUC0603";"C0603";"C8, C26, C27, C28";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"5V-ok";"LEDCHIPLED_0603";"CHIPLED_0603";"RED";"LED";"";"";"";"";"";"";
"1";"91k 0.1% ±25 ppm/°C";"R-EU_R0402";"R0402";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"A18:A8";"PINHD-1X11";"1X11";"GPIO2";"PIN HEADER";"";"";"";"";"";"";
"1";"A7:A0";"PINHD-1X8";"1X08";"GPIO1";"PIN HEADER";"";"";"";"";"";"";
"1";"BME280";"BME280";"BME280";"IC1";"DIGITAL HUMIDITY, PRESSURE AND TEMPERATURE SENSOR* Digital interface I²C (up to 3.4 MHz) and SPI (3 and 4 wire, up to 10 MHz)* Supply voltage VDD main supply voltage range: 1.71 V to 3.6 V*VDDIO interface voltage range: 1.2 V to 3.6 V";"";"";"";"";"";"";
"4";"DRV8836DSSR";"DRV8836DSSR";"SON50P200X300X80-13N";"U3, U4, U5, U7";"DUAL LOW VOLTAGE H-BRIDGE IC,SON-12";"";"DRV8836DSSR ";"2115236 ";"94T6066";"SON-12";"TEXAS INSTRUMENTS";
"1";"HMC5883L ";"HMC5883L";"LPCC16";"COMPASS";"";"";"";"";"";"";"";
"1";"HX1";"HX1";"HX1";"U$4";"Radiometrix HX1:";"";"";"";"";"";"";
"1";"LED0";"LEDCHIPLED_0603";"CHIPLED_0603";"LED0";"LED";"";"";"";"";"";"";
"1";"LED1";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";
"1";"MPU-6050";"MPU-6050";"QFN24";"MPU-6050";"";"";"";"";"";"";"";
"1";"MSP432";"MSP432";"PZ100";"MSP1";"";"";"";"";"";"";"";
"1";"SPI";"PINHD-1X4";"1X04";"JP3";"PIN HEADER";"";"";"";"";"";"";
"1";"SST25VF064C";"SST25VF064C";"SOIC_8-LEAD";"U$3";"";"";"";"";"";"";"";
"1";"STARGND";"STARGND";"STAR";"U$2";"";"";"";"";"";"";"";
"1";"TPS61232";"TPS61232";"S-PVSON-N10";"U$1";"Up to 96% Efficiency Synchronous Boost Converter";"";"";"";"";"";"";
